Date,Time,Elapsed Seconds,Particulate Matter-PM10 (ug/m&#179;),Particulate Matter-PM2.5 (ug/m&#179;),Particulate Matter-PM1.0 (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Carbon Dioxide-CO&#x2082; (ppm),Carbon Dioxide-Avg. (ppm),Ozone-Avg. (ppb),Ozone-O&#x2083; (ppb),Air Quality Index-AQI ,Air Quality Index-Avg. ,Pressure Barometric-Pressure (mBar),Internal Temperature-Internal Temperature (&#x2103;),Humidity-Humidity (%RH),Light Intensity-Light (lux)
3/4/2026,8:03:32 PM,0.00,41,34,22,41,34,22,1830,1830,0.2,0.2,97.1,97.1,975.67,18.5,52.7,0
3/4/2026,8:03:33 PM,1.00,41,34,22,41,34,22,1799,1814.5,0.2,0.2,97.1,97.1,975.67,18.5,52.7,0
3/4/2026,8:03:34 PM,2.00,41,35,22,37.8,32.5,20.8,1757,2113.9,0.2,0.2,99.2,93.8,975.65,18.5,54.2,0
3/4/2026,8:03:35 PM,3.00,41,35,22,38.1,32.7,20.9,1725,2081.5,0.2,0.2,99.2,94.3,975.65,18.5,54.2,0
3/4/2026,8:03:36 PM,4.00,41,34,21,38.3,32.8,20.9,1687,2051.2,0.2,0.2,97.1,94.5,975.64,18.5,54.2,0
3/4/2026,8:03:37 PM,5.00,41,34,21,38.5,32.9,20.9,1659,2023.1,0.2,0.2,97.1,94.7,975.68,18.5,54.2,0
3/4/2026,8:03:38 PM,6.00,41,34,21,38.7,32.9,20.9,1623,1996.5,0.2,0.2,97.1,94.8,975.68,18.5,54.2,0
3/4/2026,8:03:39 PM,7.00,42,34,21,38.9,33,20.9,1599,1971.6,0.2,0.2,97.1,95,975.67,18.6,54.2,0
3/4/2026,8:03:40 PM,8.00,43,35,22,39.1,33.1,21,1570,1948,0.2,0.2,99.2,95.2,975.67,18.5,54.2,0
3/4/2026,8:03:41 PM,9.00,44,35,22,39.4,33.2,21.1,1552,1926,0.2,0.2,99.2,95.4,975.67,18.5,54.2,0
3/4/2026,8:03:42 PM,10.00,44,35,22,39.6,33.3,21.1,1541,1905.7,0.2,0.2,99.2,95.6,975.66,18.5,54.2,0
3/4/2026,8:03:43 PM,11.00,44,35,22,39.9,33.4,21.2,1534,1887.2,0.2,0.2,99.2,95.8,975.66,18.5,54.2,0
3/4/2026,8:03:44 PM,12.00,45,36,22,40.1,33.5,21.2,1523,1869.8,0.2,0.2,102.2,96.1,975.64,18.5,54.2,0
3/4/2026,8:03:45 PM,13.00,44,35,21,40.3,33.6,21.2,1510,1853.5,0.2,0.2,99.2,96.3,975.62,18.5,54.2,0
3/4/2026,8:03:46 PM,14.00,46,36,21,40.5,33.7,21.2,1497,1838,0.2,0.2,102.2,96.5,975.63,18.5,54.2,0
3/4/2026,8:03:47 PM,15.00,46,36,21,40.8,33.8,21.2,1487,1823.3,0.2,0.2,102.2,96.8,975.65,18.5,54.2,0
3/4/2026,8:03:48 PM,16.00,46,36,21,41,33.9,21.2,1471,1809.2,0.2,0.2,102.2,97,975.65,18.5,52.7,0
3/4/2026,8:03:49 PM,17.00,48,38,22,41.2,34,21.2,1458,1795.7,0.2,0.2,107.2,97.4,975.67,18.5,54.2,0
3/4/2026,8:03:50 PM,18.00,48,38,22,41.5,34.2,21.2,1439,1782.5,0.2,0.2,107.2,97.7,975.64,18.5,54.2,0
