Date,Time,Elapsed Seconds,Particulate Matter-PM10 (ug/m&#179;),Particulate Matter-PM2.5 (ug/m&#179;),Particulate Matter-PM1.0 (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Carbon Dioxide-CO&#x2082; (ppm),Carbon Dioxide-Avg. (ppm),Ozone-Avg. (ppb),Ozone-O&#x2083; (ppb),Air Quality Index-AQI ,Air Quality Index-Avg. ,Pressure Barometric-Pressure (mBar),Internal Temperature-Internal Temperature (&#x2103;),Humidity-Humidity (%RH),Light Intensity-Light (lux)
3/4/2026,7:51:08 PM,0.00,32,30,18,32,30,18,996,996,0.3,0.3,88.6,88.6,974.3,18.8,49.9,0
3/4/2026,7:51:09 PM,1.00,33,31,19,32.5,30.5,18.5,981,988.5,0.3,0.3,90.7,89.7,974.29,18.8,49.9,0
3/4/2026,7:51:10 PM,2.00,33,31,20,32.7,30.7,19,963,980,0.3,0.3,90.7,90,974.32,18.8,49.9,0
3/4/2026,7:51:11 PM,3.00,32,30,19,32.5,30.5,19,950,972.5,0.3,0.3,88.6,89.7,974.32,18.8,49.9,0
3/4/2026,7:51:12 PM,4.00,32,30,19,32.4,30.4,19,938,965.6,0.3,0.3,88.6,89.4,974.28,18.8,49.9,0
3/4/2026,7:51:13 PM,5.00,34,31,19,32.7,30.5,19,924,958.7,0.3,0.3,90.7,89.7,974.28,18.8,49.9,0
3/4/2026,7:51:14 PM,6.00,35,32,20,33,30.7,19.1,908,951.4,0.3,0.3,92.8,90.1,974.3,18.8,49.9,0
3/4/2026,7:51:15 PM,7.00,36,33,20,33.4,31,19.3,901,945.1,0.3,0.3,95,90.7,974.29,18.8,49.9,0
3/4/2026,7:51:16 PM,8.00,38,34,21,33.9,31.3,19.4,894,939.4,0.3,0.2,97.1,91.4,974.27,18.8,49.9,0
3/4/2026,7:51:17 PM,9.00,38,34,21,34.3,31.6,19.6,901,935.6,0.3,0.3,97.1,92,974.26,18.8,49.9,0
3/4/2026,7:51:18 PM,10.00,38,34,21,34.6,31.8,19.7,898,932.2,0.3,0.3,97.1,92.5,974.28,18.8,49.9,0
3/4/2026,7:51:19 PM,11.00,40,35,21,35.1,32.1,19.8,908,930.2,0.3,0.2,99.2,93,974.26,18.8,49.9,0
3/4/2026,7:51:20 PM,12.00,42,35,21,35.6,32.3,19.9,907,928.4,0.3,0.3,99.2,93.5,974.29,18.8,49.9,0
3/4/2026,7:51:21 PM,13.00,43,35,21,36.1,32.5,20,906,926.8,0.3,0.3,99.2,93.9,974.29,18.8,49.9,0
