Date,Time,Elapsed Seconds,Particulate Matter-PM10 (ug/m&#179;),Particulate Matter-PM2.5 (ug/m&#179;),Particulate Matter-PM1.0 (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Carbon Dioxide-CO&#x2082; (ppm),Carbon Dioxide-Avg. (ppm),Ozone-Avg. (ppb),Ozone-O&#x2083; (ppb),Air Quality Index-AQI ,Air Quality Index-Avg. ,Pressure Barometric-Pressure (mBar),Internal Temperature-Internal Temperature (&#x2103;),Humidity-Humidity (%RH),Light Intensity-Light (lux)
3/4/2026,8:39:28 PM,0.00,27,25,16,27,25,16,2145,2145,0.2,0.2,78.1,78.1,975.26,17.9,58.5,0
3/4/2026,8:39:29 PM,1.00,29,25,17,28,25,16.5,2104,2124.5,0.2,0.2,78.1,78.1,975.23,17.9,58.5,0
3/4/2026,8:39:30 PM,2.00,29,25,17,27.6,24.8,16.4,2055,2135.4,0.2,0.2,78.1,77.7,975.28,17.9,58.5,0
3/4/2026,8:39:31 PM,3.00,29,25,17,27.8,24.8,16.5,2010,2114.5,0.2,0.2,78.1,77.8,975.28,17.9,57,0
3/4/2026,8:39:32 PM,4.00,29,27,18,28,25.1,16.7,1970,2093.9,0.2,0.2,82.3,78.4,975.28,17.9,57,14.9
3/4/2026,8:39:33 PM,5.00,29,27,18,28.1,25.4,16.9,1921,2072.3,0.2,0.2,82.3,78.9,975.26,17.9,57,0
3/4/2026,8:39:34 PM,6.00,31,29,18,28.4,25.8,17,1869,2049.7,0.2,0.2,86.5,79.7,975.23,17.9,57,0
3/4/2026,8:39:35 PM,7.00,31,29,18,28.7,26.1,17.1,1812,2025.9,0.2,0.2,86.5,80.4,975.24,17.9,57,0
3/4/2026,8:39:36 PM,8.00,31,29,18,28.9,26.4,17.2,1763,2002,0.2,0.2,86.5,81,975.27,17.9,57,0
3/4/2026,8:39:37 PM,9.00,31,30,19,29.1,26.7,17.3,1715,1978.1,0.2,0.2,88.6,81.6,975.29,17.9,57,14.9
3/4/2026,8:39:38 PM,10.00,31,30,19,29.2,26.9,17.5,1657,1953.4,0.2,0.2,88.6,82.1,975.27,17.9,57,0
3/4/2026,8:39:39 PM,11.00,33,31,19,29.5,27.2,17.6,1615,1929.2,0.2,0.2,90.7,82.8,975.26,17.9,57,0
3/4/2026,8:39:40 PM,12.00,33,31,19,29.7,27.5,17.7,1571,1905.3,0.2,0.2,90.7,83.3,975.26,17.9,57,0
3/4/2026,8:39:41 PM,13.00,33,31,19,29.9,27.7,17.8,1555,1883.4,0.2,0.2,90.7,83.7,975.25,17.9,57,0
3/4/2026,8:39:42 PM,14.00,34,32,19,30.2,27.9,17.8,1521,1862.1,0.2,0.2,92.8,84.3,975.24,17.9,57,14.9
3/4/2026,8:39:43 PM,15.00,34,32,19,30.4,28.2,17.9,1479,1840.8,0.2,0.2,92.8,84.8,975.26,17.9,57,0
3/4/2026,8:39:44 PM,16.00,36,33,20,30.7,28.4,18,1448,1820.2,0.2,0.2,95,85.3,975.24,17.9,57,0
3/4/2026,8:39:45 PM,17.00,36,33,20,31,28.7,18.1,1423,1800.3,0.2,0.2,95,85.8,975.24,17.9,57,0
3/4/2026,8:39:46 PM,18.00,36,33,20,31.2,28.9,18.2,1384,1780.5,0.2,0.2,95,86.2,975.24,17.9,57,0
3/4/2026,8:39:47 PM,19.00,36,33,20,31.4,29,18.3,1352,1761,0.2,0.2,95,86.6,975.24,17.9,57,14.9
3/4/2026,8:39:48 PM,20.00,36,33,20,31.6,29.2,18.3,1333,1742.4,0.2,0.2,95,87,975.25,17.9,57,0
3/4/2026,8:39:49 PM,21.00,39,34,21,31.9,29.4,18.5,1305,1724.2,0.2,0.2,97.1,87.4,975.24,17.9,57,0
3/4/2026,8:39:50 PM,22.00,39,34,21,32.2,29.6,18.6,1283,1706.5,0.2,0.2,97.1,87.8,975.25,17.9,57,0
3/4/2026,8:39:51 PM,23.00,39,34,21,32.5,29.8,18.7,1256,1689.2,0.2,0.2,97.1,88.1,975.23,17.9,57,0
3/4/2026,8:39:52 PM,24.00,39,33,20,32.7,29.9,18.7,1236,1672.4,0.2,0.2,95,88.4,975.22,17.9,57,14.9
3/4/2026,8:39:53 PM,25.00,40,35,22,33,30.1,18.8,1229,1656.6,0.2,0.2,99.2,88.8,975.24,17.9,57,0
3/4/2026,8:39:54 PM,26.00,41,35,22,33.2,30.2,18.9,1208,1641.1,0.2,0.2,99.2,89.1,975.22,17.9,57,0
3/4/2026,8:39:55 PM,27.00,42,36,22,33.5,30.4,19,1192,1626.1,0.2,0.2,102.2,89.6,975.24,17.9,57,0
3/4/2026,8:39:56 PM,28.00,43,37,22,33.8,30.6,19.1,1169,1611.4,0.2,0.2,104.7,90.1,975.24,17.9,57,0
3/4/2026,8:39:57 PM,29.00,44,36,22,34.2,30.8,19.2,1155,1597.1,0.2,0.2,102.2,90.4,975.23,17.9,57,14.9
3/4/2026,8:39:58 PM,30.00,42,36,22,34.4,31,19.3,1144,1583.4,0.2,0.2,102.2,90.8,975.22,17.9,57,0
3/4/2026,8:39:59 PM,31.00,44,36,22,34.7,31.1,19.4,1136,1570.2,0.2,0.2,102.2,91.1,975.22,17.9,57,0
3/4/2026,8:40:00 PM,32.00,42,36,22,34.9,31.3,19.5,1130,1557.7,0.2,0.2,102.2,91.5,975.24,17.9,57,0
3/4/2026,8:40:01 PM,33.00,44,37,22,35.1,31.4,19.5,1127,1545.7,0.2,0.2,104.7,91.8,975.24,17.9,57,0
3/4/2026,8:40:02 PM,34.00,42,36,22,35.3,31.5,19.6,1118,1534.1,0.2,0.2,102.2,92.1,975.23,17.9,57,14.9
3/4/2026,8:40:03 PM,35.00,42,36,22,35.5,31.7,19.7,1116,1523.1,0.2,0.2,102.2,92.4,975.23,17.9,57,0
3/4/2026,8:40:04 PM,36.00,42,36,22,35.7,31.8,19.7,1116,1512.7,0.2,0.2,102.2,92.6,975.24,17.9,57,0
3/4/2026,8:40:05 PM,37.00,41,35,21,35.8,31.9,19.8,1122,1502.9,0.2,0.2,99.2,92.8,975.25,17.9,57,0
3/4/2026,8:40:06 PM,38.00,41,35,21,35.9,31.9,19.8,1121,1493.6,0.2,0.2,99.2,92.9,975.26,17.9,57,0
3/4/2026,8:40:07 PM,39.00,42,34,21,36.1,32,19.8,1119,1484.7,0.2,0.2,97.1,93,975.25,17.9,57,14.9
3/4/2026,8:40:08 PM,40.00,42,34,21,36.2,32,19.8,1118,1476.2,0.2,0.2,97.1,93.1,975.25,17.9,57,0
3/4/2026,8:40:09 PM,41.00,42,34,21,36.3,32.1,19.9,1116,1468,0.2,0.2,97.1,93.2,975.24,17.9,57,0
3/4/2026,8:40:10 PM,42.00,41,33,20,36.4,32.1,19.9,1118,1460.2,0.2,0.2,95,93.3,975.24,17.9,57,0
3/4/2026,8:40:11 PM,43.00,41,33,20,36.5,32.1,19.9,1115,1452.7,0.2,0.2,95,93.3,975.27,17.9,57,0
3/4/2026,8:40:12 PM,44.00,39,33,20,36.6,32.1,19.9,1114,1445.5,0.2,0.2,95,93.3,975.27,17.9,57,14.9
3/4/2026,8:40:13 PM,45.00,40,33,20,36.7,32.1,19.9,1111,1438.5,0.2,0.2,95,93.4,975.25,17.9,57,0
3/4/2026,8:40:14 PM,46.00,38,33,20,36.7,32.2,19.9,1103,1431.7,0.2,0.2,95,93.4,975.24,17.9,57,0
3/4/2026,8:40:15 PM,47.00,39,33,20,36.7,32.2,19.9,1106,1425.2,0.2,0.2,95,93.4,975.25,17.9,57,0
3/4/2026,8:40:16 PM,48.00,39,33,20,36.8,32.2,19.9,1105,1418.9,0.2,0.2,95,93.5,975.24,17.9,57,0
3/4/2026,8:40:17 PM,49.00,39,33,20,36.8,32.2,19.9,1106,1412.9,0.2,0.2,95,93.5,975.26,17.9,57,14.9
3/4/2026,8:40:18 PM,50.00,44,35,20,37,32.3,19.9,1103,1407,0.2,0.2,99.2,93.6,975.28,17.9,57,0
3/4/2026,8:40:19 PM,51.00,41,34,20,37,32.3,19.9,1102,1401.4,0.2,0.2,97.1,93.7,975.29,17.9,57,0
3/4/2026,8:40:20 PM,52.00,44,35,21,37.2,32.3,19.9,1103,1395.9,0.2,0.2,99.2,93.8,975.29,17.9,57,0
3/4/2026,8:40:21 PM,53.00,45,36,21,37.3,32.4,19.9,1105,1390.8,0.2,0.2,102.2,93.9,975.27,17.9,57,0
3/4/2026,8:40:22 PM,54.00,45,36,21,37.4,32.5,19.9,1108,1385.8,0.2,0.2,102.2,94.1,975.27,17.9,57,14.9
3/4/2026,8:40:23 PM,55.00,45,36,21,37.6,32.5,20,1108,1381,0.2,0.2,102.2,94.2,975.29,17.9,57,0
3/4/2026,8:40:24 PM,56.00,45,36,21,37.7,32.6,20,1111,1376.4,0.2,0.2,102.2,94.3,975.29,17.9,57,0
3/4/2026,8:40:25 PM,57.00,44,35,20,37.8,32.6,20,1111,1372,0.2,0.2,99.2,94.4,975.26,17.9,57,0
3/4/2026,8:40:26 PM,58.00,44,35,20,37.9,32.7,20,1108,1367.7,0.2,0.2,99.2,94.5,975.29,17.9,57,0
3/4/2026,8:40:27 PM,59.00,44,35,20,38,32.7,20,1103,1363.4,0.2,0.2,99.2,94.6,975.29,17.9,57,14.9
3/4/2026,8:40:28 PM,60.00,44,35,21,38.1,32.7,20,1102,1359.3,0.2,0.2,99.2,94.7,975.27,17.9,57,0
3/4/2026,8:40:29 PM,61.00,45,36,22,38.2,32.8,20,1100,1355.2,0.2,0.2,102.2,94.8,975.25,17.9,57,0
3/4/2026,8:40:30 PM,62.00,45,36,22,38.3,32.8,20.1,1105,1351.4,0.2,0.2,102.2,94.9,975.28,17.9,57,0
3/4/2026,8:40:31 PM,63.00,45,36,22,38.4,32.9,20.1,1096,1347.5,0.2,0.2,102.2,95,975.26,17.9,57,0
3/4/2026,8:40:32 PM,64.00,45,36,22,38.5,32.9,20.1,1084,1343.6,0.2,0.2,102.2,95.1,975.26,17.9,57,14.9
3/4/2026,8:40:33 PM,65.00,43,35,21,38.6,33,20.1,1070,1339.5,0.2,0.2,99.2,95.2,975.28,17.9,57,0
3/4/2026,8:40:34 PM,66.00,43,35,21,38.6,33,20.1,1052,1335.4,0.2,0.2,99.2,95.2,975.29,17.9,57,0
3/4/2026,8:40:35 PM,67.00,42,34,21,38.7,33,20.2,1039,1331.1,0.2,0.2,97.1,95.2,975.29,17.9,57,0
3/4/2026,8:40:36 PM,68.00,42,34,21,38.7,33,20.2,1030,1326.9,0.2,0.2,97.1,95.3,975.31,17.9,57,0
3/4/2026,8:40:37 PM,69.00,42,34,21,38.8,33,20.2,1021,1322.6,0.2,0.2,97.1,95.3,975.3,17.9,57,14.9
3/4/2026,8:40:38 PM,70.00,45,35,22,38.9,33.1,20.2,1008,1318.3,0.2,0.2,99.2,95.4,975.3,17.9,57,0
